#      x          Cp  
     1.00000    0.41180
     0.99168    0.23433
     0.98037    0.18258
     0.96727    0.13958
     0.95272    0.10619
     0.93720    0.07821
     0.92112    0.05426
     0.90474    0.03329
     0.88821    0.01458
     0.87160   -0.00239
     0.85494   -0.01800
     0.83827   -0.03253
     0.82158   -0.04621
     0.80488   -0.05921
     0.78817   -0.07165
     0.77146   -0.08364
     0.75475   -0.09527
     0.73803   -0.10661
     0.72132   -0.11772
     0.70460   -0.12866
     0.68789   -0.13947
     0.67118   -0.15019
     0.65447   -0.16084
     0.63777   -0.17147
     0.62108   -0.18209
     0.60440   -0.19273
     0.58772   -0.20341
     0.57106   -0.21414
     0.55441   -0.22493
     0.53778   -0.23581
     0.52116   -0.24678
     0.50456   -0.25785
     0.48798   -0.26902
     0.47143   -0.28030
     0.45489   -0.29170
     0.43839   -0.30321
     0.42191   -0.31483
     0.40546   -0.32657
     0.38905   -0.33842
     0.37268   -0.35037
     0.35635   -0.36241
     0.34007   -0.37455
     0.32383   -0.38676
     0.30766   -0.39903
     0.29154   -0.41134
     0.27550   -0.42368
     0.25953   -0.43602
     0.24366   -0.44834
     0.22788   -0.46060
     0.21222   -0.47276
     0.19670   -0.48477
     0.18135   -0.49658
     0.16619   -0.50811
     0.15127   -0.51925
     0.13666   -0.52987
     0.12246   -0.53978
     0.10877   -0.54872
     0.09575   -0.55637
     0.08358   -0.56231
     0.07242   -0.56607
     0.06239   -0.56719
     0.05354   -0.56520
     0.04581   -0.55967
     0.03910   -0.55013
     0.03329   -0.53606
     0.02826   -0.51675
     0.02387   -0.49130
     0.02003   -0.45856
     0.01666   -0.41702
     0.01369   -0.36481
     0.01108   -0.29968
     0.00879   -0.21903
     0.00678   -0.12016
     0.00505   -0.00083
     0.00358    0.13973
     0.00236    0.29913
     0.00140    0.47004
     0.00070    0.63912
     0.00024    0.78922
     0.00003    0.90381
     0.00003    0.97427
     0.00024    0.99996
     0.00070    0.97865
     0.00140    0.91596
     0.00236    0.82395
     0.00358    0.71627
     0.00505    0.60422
     0.00678    0.49536
     0.00879    0.39386
     0.01108    0.30149
     0.01369    0.21856
     0.01666    0.14459
     0.02003    0.07881
     0.02387    0.02034
     0.02826   -0.03167
     0.03329   -0.07791
     0.03910   -0.11896
     0.04581   -0.15524
     0.05354   -0.18699
     0.06239   -0.21435
     0.07242   -0.23741
     0.08358   -0.25629
     0.09575   -0.27123
     0.10877   -0.28260
     0.12246   -0.29083
     0.13666   -0.29640
     0.15127   -0.29972
     0.16619   -0.30117
     0.18135   -0.30107
     0.19670   -0.29967
     0.21222   -0.29719
     0.22788   -0.29379
     0.24366   -0.28963
     0.25953   -0.28482
     0.27550   -0.27947
     0.29154   -0.27365
     0.30766   -0.26745
     0.32383   -0.26092
     0.34007   -0.25412
     0.35635   -0.24709
     0.37268   -0.23988
     0.38905   -0.23251
     0.40546   -0.22502
     0.42191   -0.21742
     0.43839   -0.20975
     0.45489   -0.20202
     0.47143   -0.19425
     0.48798   -0.18643
     0.50456   -0.17859
     0.52116   -0.17073
     0.53778   -0.16285
     0.55441   -0.15496
     0.57106   -0.14704
     0.58772   -0.13910
     0.60440   -0.13113
     0.62108   -0.12312
     0.63777   -0.11506
     0.65447   -0.10693
     0.67118   -0.09871
     0.68789   -0.09038
     0.70460   -0.08191
     0.72132   -0.07327
     0.73803   -0.06442
     0.75475   -0.05531
     0.77146   -0.04589
     0.78817   -0.03610
     0.80488   -0.02584
     0.82158   -0.01503
     0.83827   -0.00354
     0.85494    0.00880
     0.87160    0.02218
     0.88821    0.03688
     0.90474    0.05327
     0.92112    0.07187
     0.93720    0.09337
     0.95272    0.11881
     0.96727    0.14960
     0.98037    0.18985
     0.99168    0.23907
     1.00000    0.41180
